projectID,day,ID,COLI_NON_24,COLI_COLI_24,COLI_NON_48,COLI_COLI_48,EB_NON_24,EB_COLI_24,EB_NON_48,EB_COLI_48,CVTA
464,14,11,--,--,--,--,--,--,--,--,-
464,14,12,--,--,--,--,--,--,--,--,+
464,14,13,--,--,--,--,++,--,++,--,+
464,14,14,--,--,--,--,--,--,--,--,-
464,14,12_1,--,--,--,--,--,--,--,--,-
464,14,13_1,--,--,--,--,--,--,--,--,-
464,14,21,--,--,,--,--,--,++,--,+
464,14,22,--,--,++,--,--,--,++,--,+
464,14,24,--,--,++,--,--,--,++,--,+
464,14,31,--,--,,--,--,--,,--,+
464,14,32,++,--,++,--,--,--,++,--,+
464,14,33,--,--,,--,--,--,,--,+
464,14,34,--,--,++,--,--,--,++,--,+
464,14,51,--,--,,--,--,--,,--,-
464,14,61,++,--,++,--,++,--,++,--,+
464,14,61_1,++,--,++,--,--,--,--,--,-
464,14,25,--,--,++,--,--,--,++,--,+
464,14,21_1,--,--,,--,--,--,,--,-
464,14,21_2,--,--,++,--,--,--,++,--,+
464,14,22_1,--,--,++,--,--,--,++,--,+
464,14,24_1,++,++,++,++,++,++,++,++,+
464,14,32_1,++,++,++,++,++,++,++,++,+
464,14,32_2,--,--,++,--,--,--,--,--,+
464,14,32_3,--,--,,--,--,--,--,--,-
464,14,32_4,--,--,,--,--,--,--,--,+
464,14,32_5,--,--,++,--,--,--,++,--,+
464,14,32_6,--,--,++,--,--,--,++,--,+
464,14,33_1,--,--,,--,--,--,,--,-
464,14,33_2,--,--,++,--,--,--,++,--,-
464,14,33_3,++,--,++,--,--,--,,--,+
464,14,33_4,--,--,++,--,--,--,++,--,-
464,14,34_1,++,--,++,--,--,--,++,--,+
464,14,35,++,--,++,--,--,--,++,--,+
