projectID,day,ID,COLI_NON_24,COLI_COLI_24,COLI_NON_48,COLI_COLI_48,EB_NON_24,EB_COLI_24,EB_NON_48,EB_COLI_48,CVTA
464,21,11,,,,,,,,,-
464,21,12,+-,,++,,,,,,-
464,21,13,++,,++,,++,,++,,+
464,21,14,,,,,,,,,-
464,21,12_1,,,,,,,,,-
464,21,13_1,,,,,,,,,-
464,21,21,,,++,,,,++,,+
464,21,22,,,++,,,,++,,+
464,21,24,++,,++,,++,++,++,++,+
464,21,31,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,32,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,33,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,34,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,51,,,,,,,,,-
464,21,61,,,++,,,,++,,+
464,21,61_1,,,,,,,,,+
464,21,25,,,++,,,,++,,+
464,21,21_1,,,,,,,,,+
464,21,21_2,,,++,,,,++,,+
464,21,22_1,,,++,,,,++,,+
464,21,24_1,++,++,++,++,++,++,++,++,+
464,21,32_1,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,32_2,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,32_3,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,32_4,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,32_5,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,32_6,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,33_1,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,33_2,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,33_3,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,33_4,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,34_1,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,21,35,NT,NT,NT,NT,NT,NT,NT,NT,NT
